system:index,elevation_m,index,latitude,longitude,pet_mm,pr_annual_range_mm_mean,pr_mm,temp_annual_range_C_mean,tmean_C,vpd_kPa,.geo
00000000000000000226_0,81,301.0,11.045830960836085,-85.66250165754433,1445.4101307189542,388.19607843137254,138.11601307189542,141.33333333333334,265.76962,89.94444444444444,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045_0,166,302.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,166,303.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,166,304.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e_0,166,305.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9_0,166,306.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab_0,166,307.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000176_0,166,308.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001c5_0,166,309.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f7_0,166,310.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ff_0,166,311.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000206_0,166,312.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000213_0,166,313.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000270_0,166,314.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000276_0,166,315.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000028b_0,166,316.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002be_0,166,317.0,-10.32000078686143,-64.56000212255806,961.5898692810457,333.94117647058823,158.01633986928104,154.11764705882354,262.65686,83.5375816993464,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,683,318.0,-17.220000379660426,-46.88000087822415,1059.2712418300653,368.6666666666667,116.73692810457516,187.54901960784315,228.06128,94.55718954248366,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2_0,683,319.0,-17.220000379660426,-46.88000087822415,1059.2712418300653,368.6666666666667,116.73692810457516,187.54901960784315,228.06128,94.55718954248366,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000222_0,683,320.0,-17.220000379660426,-46.88000087822415,1059.2712418300653,368.6666666666667,116.73692810457516,187.54901960784315,228.06128,94.55718954248366,"{""type"":""MultiPoint"",""coordinates"":[]}"
